name,gender,game_id,age_range,playable,sexualization,id,species,side,relevance,romantic_interest
Mipha,Female,BOTW,Young adult,0,0,BOTW_Mipha,Humanoid,P,MC,No
Urbosa,Female,BOTW,Middle-aged,0,1,BOTW_Urbosa,Human,P,MC,No
Impa,Female,BOTW,Elderly,0,0,BOTW_Impa,Human,P,SC,No
Riju,Female,BOTW,Child,0,1,BOTW_Riju,Human,P,SC,No
Lillie,Female,PSM,Child,0,0,PSM_Lillie,Human,P,MC,No
Lusamine,Female,PSM,Middle-aged,0,0,PSM_Lusamine,Human,A,MA,No
Yennefer,Female,TW3,Adult,0,2,TW3_Yennefer,Human,P,MC,Yes
Triss ,Female,TW3,Adult,0,2,TW3_Triss,Human,P,SC,Opt
Keira Metz,Female,TW3,Adult,0,2,TW3_Keira,Human,P,SC,Opt
Roach,Female,TW3,Unknown,0,0,TW3_Roach,Animal,P,SK,No
Crones,Female,TW3,Unknown,0,0,TW3_Crones,Humanoid,A,SC,No
Maya,Female,BL2,Adult,1,0,BL2_Maya,Human,P,PA,No
Angel Guardian,Female,BL2,Adult,0,1,BL2_Angel,Human,B,MC,No
Lilith,Female,BL2,Adult,0,0,BL2_Lilith,Human,P,MC,No
Tannis,Female,BL2,Adult,0,0,BL2_Tannis,Human,P,SC,No
Katja,Female,TWD,Middle-aged,0,0,TWD_Katja,Human,P,SC,No
Carley,Female,TWD,Adult,0,0,TWD_Carley,Human,P,SC,No
Lilly,Female,TWD,Adult,0,0,TWD_Lilly,Human,B,MC,No
Brenda,Female,TWD,Adult,0,0,TWD_Brenda,Human,A,SC,No
Jolene,Female,TWD,Adult,0,0,TWD_Jolene,Human,B,SC,No
Molly,Female,TWD,Young adult,0,0,TWD_Molly,Human,P,SC,No
Christa,Female,TWD,Adult,0,0,TWD_Christa,Human,P,SC,No
Brie,Female,TWD,Adult,0,0,TWD_Brie,Human,P,SC,No
Freya,Female,GOW,Adult,0,0,GOW_Freya,Human,P,MC,No
Elena,Female,UC4,Adult,0,0,UC4_Elena,Human,P,SC,Yes
Nadine,Female,UC4,Adult,0,0,UC4_Nadine,Human,A,MC,No
Toriel,Female,UT,Adult,0,0,UT_Toriel,Humanoid,P,MC,No
Undyne,Female,UT,Adult,0,0,UT_Undyne,Humanoid,B,MC,No
Dr.Alphys,Female,UT,Adult,0,0,UT_Dr.Alphys,Humanoid,P,MC,No
Chara,Non-binary,UT,Adult,0,0,UT_Chara,Human,P,SC,No
Michael,Male,GTAV,Middle-aged,1,0,GTAV_Michael,Human,P,PA,No
Trevor,Male,GTAV,Middle-aged,1,0,GTAV_Trevor,Human,P,PA,No
Franklin,Male,GTAV,Adult,1,0,GTAV_Franklin,Human,P,PA,No
Jimmy,Male,GTAV,Young adult,0,0,GTAV_Jimmy,Human,P,SC,No
Lamar,Male,GTAV,Adult,0,0,GTAV_Lamar,Human,P,MC,No
Lester,Male,GTAV,Unknown,0,0,GTAV_Lester,Human,P,SC,No
Devin,Male,GTAV,Middle-aged,0,0,GTAV_Devin,Human,A,MA,No
Steve,Male,GTAV,Adult,0,0,GTAV_Steve,Human,A,SC,No
Chop,Male,GTAV,Unknown,0,0,GTAV_Chop,Animal,P,SK,No
Leon,Male,PSS,Young adult,0,0,PSS_Leon,Human,P,SC,No
Hop,Male,PSS,Teenager,0,0,PSS_Hop,Human,P,DA,No
Rose,Male,PSS,Adult,0,0,PSS_Rose,Human,A,MA,No
Bede,Male,PSS,Teenager,0,0,PSS_Bede,Human,B,MC,No
Alex Echo,Male,CODMW,Adult,1,0,CODMW_Alex,Human,P,PA,No
Hadir Karim,Male,CODMW,Adult,0,0,CODMW_Hadir,Human,B,MC,No
Kyle Garrick,Male,CODMW,Adult,1,0,CODMW_Kyle,Human,P,PA,No
Price John,Male,CODMW,Adult,0,0,CODMW_Price,Human,P,MC,No
Barkov Roman,Male,CODMW,Adult,0,0,CODMW_Barkov,Human,A,MA,No
Arthur Morgan,Male,RDR2,Adult,1,0,RDR2_Arthur,Human,P,PA,No
John Marston,Male,RDR2,Adult,0,0,RDR2_John,Human,P,MC,No
Bill Williamson,Male,RDR2,Adult,0,0,RDR2_Bill,Human,P,MC,No
Charles Smith,Male,RDR2,Adult,0,0,RDR2_Charles,Human,P,MC,No
