name,gender,game_id,age_range,playable,sexualization,id,species,side,relevance,romantic_interest
Nomi Nomi,Non-binary,IWATE,Teenager,0,0,IWATE_Nomi,Human,P,MC,Opt
Sym,Male,IWATE,Teenager,0,0,IWATE_Sym,Human,P,MC,Opt
Tammy,Female,IWATE,Teenager,0,0,IWATE_Tammy,Human,P,MC,Opt
Protagonist,Custom,IWATE,Teenager,1,0,IWATE_Protagonist,Human,P,PA,No
Flulu,Female,IWATE,Adult,0,0,IWATE_Flulu,Human,P,SC,No
Geranium,Male,IWATE,Adult,0,0,IWATE_Geranium,Human,P,SC,No
Eudicot,Female,IWATE,Elderly,0,0,IWATE_Eudicot,Human,P,SC,No
Baculum,Male,IWATE,Adult,0,0,IWATE_Baculum,Human,P,SC,No
Instance,Female,IWATE,Middle-aged,0,0,IWATE_Instance,Human,P,SC,No
Hal,Male,IWATE,Middle-aged,0,0,IWATE_Hal,Human,P,SC,No
Tonin,Male,IWATE,Middle-aged,0,0,IWATE_Tonin,Human,P,SC,No
Utopia,Female,IWATE,Adult,0,0,IWATE_Utopia,Human,P,SC,No
Rhett,Male,IWATE,Middle-aged,0,0,IWATE_Rhett,Human,P,SC,No
Congruence,Female,IWATE,Middle-aged,0,0,IWATE_Congruence,Robot,P,SC,No
Seeq,Non-binary,IWATE,Middle-aged,0,0,IWATE_Seeq,Human,P,SC,No
Kom,Male,IWATE,Adult,0,0,IWATE_Kom,Human,P,SC,No
Nougat,Female,IWATE,Child,0,0,IWATE_Nougat,Human,P,SC,No
Tirah,Female,IWATE,Adult,0,0,IWATE_Tirah,Human,P,SC,No
Al,Male,IWATE,Adult,0,0,IWATE_Al,Human,P,SC,No
Bernie,Male,IWATE,Adult,0,0,IWATE_Bernie,Human,P,SC,No
Marissa Marcel,Female,IMM,Adult,0,0,IMM_Marissa,Human,P,MC,No
One,Non-binary,IMM,Unknown,0,0,IMM_One,Unknown,P,PA,No
Other One,Non-binary,IMM,Unknown,0,0,IMM_Other,Unknown,P,PA,No
John Durick,Male,IMM,Adult,0,0,IMM_John,Human,P,MC,No
Arthur Fischer,Male,IMM,Adult,0,0,IMM_Arthur,Human,P,SC,No
Carl Goodman,Male,IMM,Adult,0,0,IMM_Carl,Human,P,SC,No
Amy Archer,Female,IMM,Adult,0,0,IMM_Amy,Human,P,SC,No
Harrier Du Bois,Male,DEL,Middle-aged,1,0,DEL_Harrier,Human,P,PA,No
Kim Kitsuragi,Male,DEL,Middle-aged,0,0,DEL_Kim,Human,P,DA,No
Alice DeMettrie,Female,DEL,Adult,0,0,DEL_Alice,Human,P,SC,No
Zagreus,Male,HA,Adult,1,0,HA_Zagreus,Human,P,PA,No
Hades,Male,HA,Adult,0,0,HA_Hades,Human,A,MA,No
Persephone,Female,HA,Adult,0,0,HA_Persephone,Human,P,MC,No
Nyx,Female,HA,Adult,0,0,HA_Nyx,Human,P,MC,No
Dionysus,Male,HA,Adult,0,0,HA_Dionysus,Human,P,MC,No
Hermes,Male,HA,Adult,0,0,HA_Hermes,Human,P,MC,No
Aphrodite,Female,HA,Adult,0,0,HA_Aphrodite,Human,P,MC,No
Thanatos,Male,HA,Adult,0,0,HA_Thanatos,Human,P,MC,No
Megaera,Female,HA,Adult,0,0,HA_Megaera,Human,P,MC,No
Achilles,Male,HA,Adult,0,0,HA_Achilles,Human,P,MC,No
Artemis,Female,HA,Adult,0,0,HA_Artemis,Human,P,MC,No
Poseidon,Male,HA,Adult,0,0,HA_Poseidon,Human,P,MC,No
Zeus,Male,HA,Adult,0,0,HA_Zeus,Human,P,MC,No
Demeter,Female,HA,Adult,0,0,HA_Demeter,Human,P,MC,No
Athena,Female,HA,Adult,0,0,HA_Athena,Human,P,MC,No
Ares,Male,HA,Adult,0,0,HA_Ares,Human,P,MC,No
Pizza,Non-binary,CACW,Unknown,1,0,CACW_Pizza,Humanoid-Animal,P,PA,No
Chicory,Female,CACW,Unknown,0,0,CACW_Chicory,Humanoid-Animal,P,MC,No
Blackberry,Female,CACW,Unknown,0,0,CACW_Blackberry,Humanoid-Animal,P,MC,No
Cody,Male,ITT,Adult,1,0,ITT_Cody,Human,P,PA,Yes
May,Female,ITT,Adult,1,0,ITT_May,Human,P,PA,Yes
Rose,Female,ITT,Child,0,0,ITT_Rose,Human,P,MC,No
Dr.Hakim,Male,ITT,Unknown,0,0,ITT_Dr.Hakim,Animated Object,P,MC,No
Ellie,Female,TLOU2,Young adult,1,0,TLOU2_Ellie,Human,B,PA,No
Abby,Female,TLOU2,Young adult,1,0,TLOU2_Abby,Human,B,PA,No
Joel,Male,TLOU2,Middle-aged,0,0,TLOU2_Joel,Human,B,MC,No
Tommy,Male,TLOU2,Middle-aged,0,0,TLOU2_Tommy,Human,B,MC,No
Dina,Female,TLOU2,Young adult,0,0,TLOU2_Dina,Human,B,MC,Yes
Jesse,Male,TLOU2,Young adult,0,0,TLOU2_Jesse,Human,B,MC,No
Lev,Male,TLOU2,Child,0,0,TLOU2_Lev,Human,B,SC,No
Yara,Female,TLOU2,Teenager,0,0,TLOU2_Yara,Human,B,SC,No
Manny,Male,TLOU2,Adult,0,0,TLOU2_Manny,Human,B,SC,No
Owen,Male,TLOU2,Young adult,0,0,TLOU2_Owen,Human,B,SC,Yes
Nora,Female,TLOU2,Young adult,0,0,TLOU2_Nora,Human,B,SC,No
Alyx,Female,HLA,Young adult,1,0,HLA_Alyx,Human,P,PA,No
Eli Vance,Male,HLA,Middle-aged,0,0,HLA_Eli,Human,P,MC,No
Russell,Male,HLA,Middle-aged,0,0,HLA_Russell,Human,P,SK,No
Gary,Male,HLA,Unknown,0,0,HLA_Gary,Humanoid,P,MC,No
G-Man,Male,HLA,Middle-aged,0,0,HLA_G-Man,Human,P,MA,No
Ku,Female,OAWW,Unknown,0,0,OAWW_Ku,Animal,P,MC,No
Naru,Female,OAWW,Unknown,0,0,OAWW_Naru,Creature,P,SC,No
Ori,Non-binary,OAWW,Unknown,1,0,OAWW_Ori,Creature,P,PA,No
Gumo,Male,OAWW,Unknown,0,0,OAWW_Gumo,Creature,P,SC,No
Kwolok,Male,OAWW,Unknown,0,0,OAWW_Kwolok,Creature,P,MC,No
Sein,Non-binary,OAWW,Unknown,0,0,OAWW_Sein,Animated Object,P,SK,No
Baur,Male,OAWW,Unknown,0,0,OAWW_Baur,Animal,P,SC,No
Shriek,Female,OAWW,Unknown,0,0,OAWW_Shriek,Creature,A,MA,No
Hero,Male,DQXI,Teenager,1,0,DQXI_Hero,Human,P,PA,No
Rab,Male,DQXI,Elderly,1,0,DQXI_Rab,Human,P,MC,Opt
Serena,Female,DQXI,Teenager,1,0,DQXI_Serena,Human,P,MC,Opt
Jade,Female,DQXI,Young adult,1,2,DQXI_Jade,Human,P,MC,Opt
Erik,Male,DQXI,Young adult,1,0,DQXI_Erik,Human,P,MC,Opt
Sylvando,Male,DQXI,Adult,1,0,DQXI_Sylvando,Human,P,MC,Opt
Veronica,Female,DQXI,Teenager,1,0,DQXI_Veronica,Human,P,MC,Opt
King Carnelian,Male,DQXI,Elderly,0,0,DQXI_King,Human,B,SC,No
Jasper,Male,DQXI,Adult,0,0,DQXI_Jasper,Human,B,SC,No
Hendrik,Male,DQXI,Adult,1,0,DQXI_Hendrik,Human,B,MC,Opt
Mordegon,Male,DQXI,Unknown,0,0,DQXI_Mordegon,Humanoid,A,MA,No
Calasmos,Male,DQXI,Unknown,0,0,DQXI_Calasmos,Creature,A,MA,No
Serenica,Female,DQXI,Unknown,0,0,DQXI_Serenica,Human,P,SC,No
Kiryu,Male,YK0,Young adult,1,0,YK0_Kiryu,Human,P,PA,No
Nishikiyama,Male,YK0,Young adult,0,0,YK0_Nishikiyama,Human,P,MC,No
Daisaku Kuze,Male,YK0,Middle-aged,0,0,YK0_Daisaku,Human,A,MC,No
Keiji Shibusawa,Male,YK0,Middle-aged,0,0,YK0_Keiji,Human,A,MA,No
Hiroki Awano,Male,YK0,Middle-aged,0,0,YK0_Hiroki,Human,A,MC,No
Soehi Dojima,Male,YK0,Middle-aged,0,0,YK0_Soehi,Human,A,MC,No
Tachibana,Male,YK0,Adult,0,0,YK0_Tachibana,Human,P,DA,No
Goro Majima,Male,YK0,Young adult,1,0,YK0_Goro,Human,P,PA,No
Shimano,Male,YK0,Middle-aged,0,0,YK0_Shimano,Human,A,MC,No
Sagawa,Male,YK0,Middle-aged,0,0,YK0_Sagawa,Human,A,MC,No
Makoto,Female,YK0,Young adult,0,2,YK0_Makoto,Human,P,DA,No
Wen Hai Lee,Male,YK0,Adult,0,0,YK0_Wen,Human,P,SC,No
Homare Nishitane,Male,YK0,Young adult,0,0,YK0_Homare,Human,A,SC,No
Oda,Male,YK0,Adult,0,0,YK0_Oda,Human,A,SC,No
Reina,Female,YK0,Adult,0,0,YK0_Reina,Human,P,SC,No
Sera,Male,YK0,Adult,0,0,YK0_Sera,Human,P,SC,No
Lao Gui,Male,YK0,Middle-aged,0,0,YK0_Lao,Human,A,SC,No
User,Non-binary,TINGWD,Unknown,1,0,TINGWD_User,Human,P,PA,No
Game,Male,TINGWD,Unknown,0,0,TINGWD_Game,Robot,P,DA,No
GiGi,Female,TINGWD,Unknown,0,1,TINGWD_GiGi,Robot,P,MC,Yes
Glitch,Male,TINGWD,Unknown,0,0,TINGWD_Glitch,Robot,A,MA,No
Creator,Male,TINGWD,Adult,0,0,TINGWD_Creator,Human,A,SC,No
Godwoken,Custom,DOS2,Adult,1,0,DOS2_Godwoken,Human,P,PA,No
Alexandar,Male,DOS2,Adult,0,0,DOS2_Alexandar,Human,A,SC,No
Dallis,Female,DOS2,Adult,0,0,DOS2_Dallis,Human,A,MC,No
Lucian,Male,DOS2,Adult,0,0,DOS2_Lucian,Human,A,SC,No
Braccus Rex,Male,DOS2,Adult,0,0,DOS2_Braccus,Human,A,SC,No
Beast,Male,DOS2,Adult,1,0,DOS2_Beast,Human,P,MC,Opt
Sebille,Female,DOS2,Adult,1,0,DOS2_Sebille,Human,P,MC,Opt
Ifan Ben-Mezd,Male,DOS2,Adult,1,0,DOS2_Ifan,Human,P,MC,Opt
Red Prince,Male,DOS2,Adult,1,0,DOS2_Red,Humanoid,P,MC,Opt
Fane,Male,DOS2,Adult,1,0,DOS2_Fane,Humanoid,P,MC,Opt
Lohse,Female,DOS2,Adult,1,0,DOS2_Lohse,Human,P,MC,Opt
Sekiro Wolf,Male,SSDT,Adult,1,0,SSDT_Sekiro,Human,P,PA,No
Kuro Divine Lord,Male,SSDT,Child,0,1,SSDT_Kuro,Human,P,DA,No
Commander,Male,SSDT,Adult,0,0,SSDT_Commander,Human,A,SC,No
Isshin,Male,SSDT,Elderly,0,0,SSDT_Isshin,Human,A,MC,No
Genichiro,Male,SSDT,Adult,0,0,SSDT_Genichiro,Human,A,MA,No
Emma,Female,SSDT,Adult,0,0,SSDT_Emma,Human,B,SC,No
Owl,Male,SSDT,Elderly,0,0,SSDT_Owl,Human,B,SC,No
Sculptor,Male,SSDT,Elderly,0,0,SSDT_Sculptor,Human,B,SC,No
Ori,Non-binary,OABF,Unknown,1,0,OABF_Ori,Creature,P,PA,No
Kuro,Female,OABF,Unknown,0,0,OABF_Kuro,Animal,A,MA,No
Naru,Female,OABF,Unknown,0,0,OABF_Naru,Creature,P,MC,No
Gumo,Male,OABF,Unknown,0,0,OABF_Gumo,Creature,B,SC,No
Sein,Non-binary,OABF,Unknown,0,0,OABF_Sein,Animated Object,P,SK,No
Nero,Male,DMC5,Young adult,1,0,DMC5_Nero,Human,P,PA,No
Dante,Male,DMC5,Middle-aged,1,0,DMC5_Dante,Human,P,DA,No
Nico,Female,DMC5,Adult,0,0,DMC5_Nico,Human,P,SK,No
V,Male,DMC5,Adult,1,0,DMC5_V,Human,B,PA,No
Urizen,Male,DMC5,Unknown,0,0,DMC5_Urizen,Creature,A,MA,No
Lady,Female,DMC5,Adult,0,0,DMC5_Lady,Human,P,SC,No
Trish,Female,DMC5,Unknown,0,0,DMC5_Trish,Human,P,SC,No
Vergil,Male,DMC5,Middle-aged,0,0,DMC5_Vergil,Human,A,MC,No
Byleth,Custom,FE3H,Adult,1,0,FE3H_Byleth,Human,P,PA,No
Sothis,Female,FE3H,Unknown,0,0,FE3H_Sothis,Human,P,SK,No
Edelgard,Female,FE3H,Young adult,1,0,FE3H_Edelgard,Human,B,MC,Opt
Dimitri Prince,Male,FE3H,Young adult,1,0,FE3H_Dimitri,Human,B,MC,No
Claude,Male,FE3H,Young adult,1,0,FE3H_Claude,Human,B,MC,No
Jeralt,Male,FE3H,Elderly,0,0,FE3H_Jeralt,Human,B,MC,No
Rhea,Female,FE3H,Unknown,0,0,FE3H_Rhea,Human,B,MC,Opt
Flame Emperor,Male,FE3H,Unknown,0,0,FE3H_Flame,Human,B,SC,No
Nemesis,Male,FE3H,Unknown,0,0,FE3H_Nemesis,Human,B,SC,No
Aelfric,Female,FE3H,Adult,0,0,FE3H_Aelfric,Human,B,SC,No
Thales,Male,FE3H,Unknown,0,0,FE3H_Thales,Human,A,MA,No
Edith,Female,WROEF,Teenager,1,0,WROEF_Edith,Human,P,PA,No
Edie,Female,WROEF,Elderly,0,0,WROEF_Edie,Human,P,MC,No
Dawn,Female,WROEF,Middle-aged,0,0,WROEF_Dawn,Human,P,MC,No
Sven,Male,WROEF,Middle-aged,0,0,WROEF_Sven,Human,P,MC,No
Molly,Female,WROEF,Child,0,0,WROEF_Molly,Human,P,MC,No
Barbara,Female,WROEF,Teenager,0,0,WROEF_Barbara,Human,P,MC,No
Sanjay,Male,WROEF,Adult,0,0,WROEF_Sanjay,Human,P,SC,No
Lewis,Male,WROEF,Young adult,0,0,WROEF_Lewis,Human,P,MC,No
Milton,Male,WROEF,Child,0,0,WROEF_Milton,Human,P,MC,No
Christopher,Male,WROEF,Child,0,0,WROEF_Christopher,Human,P,SC,No
Sam,Male,WROEF,Adult,0,0,WROEF_Sam,Human,P,MC,No
Gus,Male,WROEF,Child,0,0,WROEF_Gus,Human,P,MC,No
Gregory,Male,WROEF,Young adult,0,0,WROEF_Gregory,Human,P,MC,No
Kay,Female,WROEF,Middle-aged,0,0,WROEF_Kay,Human,P,SC,No
Walter,Male,WROEF,Middle-aged,0,0,WROEF_Walter,Human,P,MC,No
Calvin,Male,WROEF,Child,0,0,WROEF_Calvin,Human,P,MC,No
Odin,Male,WROEF,Unknown,0,0,WROEF_Odin,Human,P,SC,No
Madeline,Female,CLS,Young adult,1,0,CLS_Madeline,Human,P,PA,No
Celia,Female,CLS,Elderly,0,0,CLS_Celia,Human,B,MC,No
Theo,Male,CLS,Adult,0,0,CLS_Theo,Human,P,MC,No
Badeline,Female,CLS,Young adult,1,0,CLS_Badeline,Human,B,MA,No
Mr.Oshiro,Male,CLS,Elderly,0,0,CLS_Mr.Oshiro,Creature,B,SC,No
Bird,Non-binary,CLS,Unknown,0,0,CLS_Bird,Animal,P,SK,No
Prisoner,Non-binary,DC,Unknown,1,0,DC_Prisoner,Creature,P,PA,No
Collector,Male,DC,Unknown,0,0,DC_Collector,Humanoid,P,MC,No
King,Male,DC,Unknown,0,0,DC_King,Human,A,MA,No
Tutorial Knight,Female,DC,Unknown,0,0,DC_Tutorial,Human,P,SC,No
Gollum,Male,DC,Unknown,0,0,DC_Gollum,Humanoid,P,SC,No
Knight,Non-binary,HLKN,Unknown,1,0,HLKN_Knight,Humanoid,P,PA,No
Pale King,Male,HLKN,Unknown,0,0,HLKN_Pale,Humanoid,A,MC,No
Hornet,Female,HLKN,Unknown,0,0,HLKN_Hornet,Humanoid,B,MC,No
Radiance,Female,HLKN,Unknown,0,0,HLKN_Radiance,Creature,A,MA,No
Hollow Knight,Non-binary,HLKN,Unknown,0,0,HLKN_Hollow,Humanoid,A,MC,No
Mr.Mushroom,Male,HLKN,Unknown,0,0,HLKN_Mr.Mushroom,Animated Plant,P,SC,No
Lurien,Male,HLKN,Unknown,0,0,HLKN_Lurien,Creature,P,SC,No
Monomon,Female,HLKN,Unknown,0,0,HLKN_Monomon,Creature,P,SC,No
Herrah,Female,HLKN,Unknown,0,0,HLKN_Herrah,Humanoid,P,SC,No
Quirrel,Male,HLKN,Unknown,0,0,HLKN_Quirrel,Humanoid,P,MC,No
Cloth,Female,HLKN,Unknown,0,0,HLKN_Cloth,Humanoid,P,SC,No
Cornifer,Male,HLKN,Unknown,0,0,HLKN_Cornifer,Humanoid,P,SC,No
Tiso,Male,HLKN,Unknown,0,0,HLKN_Tiso,Humanoid,P,SC,No
Zote,Male,HLKN,Unknown,0,0,HLKN_Zote,Humanoid,P,SC,No
White Lady,Female,HLKN,Unknown,0,0,HLKN_White,Creature,P,SC,No
Elderburg,Male,HLKN,Unknown,0,0,HLKN_Elderburg,Humanoid,P,SC,No
Mae Borowski,Female,NITW,Young adult,1,0,NITW_Mae,Humanoid-Animal,P,PA,No
Bea Santello,Female,NITW,Young adult,0,0,NITW_Bea,Humanoid-Animal,P,MC,No
Gregg Lee,Male,NITW,Young adult,0,0,NITW_Gregg,Humanoid-Animal,P,MC,No
Angus Delaney,Male,NITW,Young adult,0,0,NITW_Angus,Humanoid-Animal,P,MC,No
Casey Hartley,Female,NITW,Young adult,0,0,NITW_Casey,Humanoid-Animal,P,SC,No
Black Goat,Non-binary,NITW,Unknown,0,0,NITW_Black,Humanoid-Animal,A,SC,No
Germ,Male,NITW,Young adult,0,0,NITW_Germ,Humanoid-Animal,P,SC,No
Aunt Molly,Female,NITW,Middle-aged,0,0,NITW_Aunt,Humanoid-Animal,P,SC,No
Cult,Non-binary,NITW,Unknown,0,0,NITW_Cult,Unknown,A,MA,No
Bayonetta,Female,BY2,Unknown,1,2,BY2_Bayonetta,Human,P,PA,No
Enzo,Male,BY2,Unknown,0,0,BY2_Enzo,Human,P,MC,No
Jeanne,Female,BY2,Unknown,0,2,BY2_Jeanne,Human,P,MC,No
Inferno,Male,BY2,Unknown,0,0,BY2_Inferno,Human,A,MC,No
Lumen Sage,Male,BY2,Unknown,0,0,BY2_Lumen,Human,A,MC,No
Balder,Male,BY2,Unknown,0,0,BY2_Balder,Human,A,MC,No
Luka,Male,BY2,Unknown,0,0,BY2_Luka,Human,P,SC,No
Loki,Male,BY2,Unknown,0,0,BY2_Loki,Human,P,MC,No
Rodin,Male,BY2,Unknown,0,0,BY2_Rodin,Humanoid,A,MC,No
Rosa,Female,BY2,Unknown,0,0,BY2_Rosa,Human,P,SC,No
Loptr,Male,BY2,Unknown,0,0,BY2_Loptr,Human,A,MA,No
Vella Tartine,Female,BRA,Teenager,1,0,BRA_Vella,Human,P,PA,No
Levina,Female,BRA,Elderly,0,0,BRA_Levina,Human,P,SC,No
Jessie,Female,BRA,Unknown,0,0,BRA_Jessie,Animal,P,SC,No
Ch't,Male,BRA,Teenager,0,0,BRA_Ch't,Human,P,SC,No
Maggie,Female,BRA,Teenager,0,0,BRA_Maggie,Human,P,SC,No
Gus,Male,BRA,Adult,0,0,BRA_Gus,Human,P,SC,No
Brommel,Male,BRA,Elderly,0,0,BRA_Brommel,Human,P,SC,No
Morelia,Female,BRA,Adult,0,0,BRA_Morelia,Human,P,SC,No
Husker,Male,BRA,Adult,0,0,BRA_Husker,Human,P,SC,No
Alex,Male,BRA,Adult,0,0,BRA_Alex,Human,P,SC,No
Shay,Male,BRA,Teenager,1,0,BRA_Shay,Human,P,PA,No
Hope,Female,BRA,Adult,0,0,BRA_Hope,Human,P,MC,No
Marek,Male,BRA,Unknown,0,0,BRA_Marek,Humanoid,A,MA,No
Grabbin Gary,Male,BRA,Unknown,0,0,BRA_Grabbin,Robot,P,SC,No
Ray Volta,Male,BRA,Adult,0,0,BRA_Ray,Human,P,MC,No
Rocky,Female,BRA,Child,0,0,BRA_Rocky,Human,P,SC,No
Venom Snake,Male,MGSV,Adult,1,0,MGSV_Venom,Human,P,PA,No
Quiet,Female,MGSV,Adult,0,0,MGSV_Quiet,Human,P,MC,No
Revolver Ocelot,Male,MGSV,Adult,0,0,MGSV_Revolver,Human,P,MC,No
Kazuhira Miller,Male,MGSV,Adult,0,0,MGSV_Kazuhira,Human,P,MC,No
Dr.Huey Emmerich,Male,MGSV,Adult,0,0,MGSV_Dr.Huey,Human,P,MC,No
Code Talker,Male,MGSV,Elderly,0,0,MGSV_Code,Human,P,MC,No
Eli,Male,MGSV,Child,0,0,MGSV_Eli,Human,P,SC,No
Zero,Male,MGSV,Elderly,0,0,MGSV_Zero,Human,P,SC,No
Skull Face,Male,MGSV,Middle-aged,0,0,MGSV_Skull,Human,A,MA,No
Sahelanthropus,Non-binary,MGSV,Unknown,0,0,MGSV_Sahelanthropus,Robot,P,SC,No
Swapper,Female,TSWP,Unknown,1,0,TSWP_Swapper,Human,P,PA,No
Head Watcher,Non-binary,TSWP,Unknown,0,0,TSWP_Head,Unknown,A,MA,No
Dennet,Female,TSWP,Unknown,0,0,TSWP_Dennet,Human,P,MC,No
Chalmers,Female,TSWP,Unknown,0,0,TSWP_Chalmers,Human,P,MC,No
Marcus,Male,TSWP,Unknown,0,0,TSWP_Marcus,Human,P,SC,No
Captain,Male,TSWP,Unknown,0,0,TSWP_Captain,Human,A,SC,No
Otus,Male,OWB,Child,1,0,OWB_Otus,Humanoid,P,PA,No
Asio,Male,OWB,Elderly,0,0,OWB_Asio,Humanoid,P,MC,No
Geddy,Male,OWB,Young adult,0,0,OWB_Geddy,Human,P,SK,No
Alphonse,Male,OWB,Adult,0,0,OWB_Alphonse,Android-Robot,P,MC,No
Twig,Male,OWB,Unknown,0,0,OWB_Twig,Humanoid,P,MC,No
Dirk,Male,OWB,Unknown,0,0,OWB_Dirk,Android-Robot,A,MC,No
Molstrom,Male,OWB,Unknown,0,0,OWB_Molstrom,Android-Robot,A,MA,No
Solus,Male,OWB,Unknown,0,0,OWB_Solus,Humanoid-Animal,A,MC,No
Bearer of the Course,Custom,DS2,Unknown,1,0,DS2_Bearer,Human,P,PA,No
Emerald Herald,Female,DS2,Unknown,0,0,DS2_Emerald,Human,P,SK,No
Nashandra,Female,DS2,Unknown,0,0,DS2_Nashandra,Humanoid,A,MA,No
Vendrick,Male,DS2,Unknown,0,0,DS2_Vendrick,Humanoid,A,MC,No
Aldia,Male,DS2,Unknown,0,0,DS2_Aldia,Humanoid,A,SC,No
Isaac,Male,TBOIR,Child,1,0,TBOIR_Isaac,Human,P,PA,No
Mother,Female,TBOIR,Adult,0,0,TBOIR_Mother,Human,A,MA,No
Magdalene,Female,TBOIR,Child,1,0,TBOIR_Magdalene,Human,P,MC,No
Cain,Male,TBOIR,Child,1,0,TBOIR_Cain,Human,P,MC,No
Judas,Male,TBOIR,Child,1,0,TBOIR_Judas,Human,P,MC,No
???,Male,TBOIR,Child,1,0,TBOIR_???,Human,P,MC,No
Eve,Female,TBOIR,Child,1,0,TBOIR_Eve,Human,P,SC,No
Samson,Male,TBOIR,Child,1,0,TBOIR_Samson,Human,P,SC,No
Azazel,Male,TBOIR,Child,1,0,TBOIR_Azazel,Human,P,SC,No
Lazarus,Male,TBOIR,Child,1,0,TBOIR_Lazarus,Human,P,SC,No
The Lost,Non-binary,TBOIR,Child,1,0,TBOIR_The,Human,P,SC,No
Aurora,Female,COL,Teenager,1,0,COL_Aurora,Human,P,PA,No
Duke,Male,COL,Middle-aged,0,0,COL_Duke,Human,P,MC,No
Igniculus,Male,COL,Unknown,1,0,COL_Igniculus,Creature,P,SK,No
Lady of the Forest,Female,COL,Middle-aged,0,0,COL_Lady,Human,P,MC,No
Rubella,Female,COL,Young adult,1,0,COL_Rubella,Human,P,SC,No
Finn,Male,COL,Child,1,0,COL_Finn,Human,P,SC,No
Norah / Nox,Female,COL,Young adult,1,0,COL_Norah,Human,B,MC,No
Robert,Male,COL,Unknown,1,0,COL_Robert,Humanoid-Animal,P,SC,No
Tristis,Male,COL,Adult,1,0,COL_Tristis,Human,P,SC,No
Cordelia / Crepusculum,Female,COL,Adult,0,0,COL_Cordelia,Human,A,SC,No
Umbra,Female,COL,Middle-aged,0,0,COL_Umbra,Human,A,MA,No
Oengus,Male,COL,Unknown,1,0,COL_Oengus,Humanoid,P,SC,No
Genovefa,Female,COL,Teenager,1,0,COL_Genovefa,Humanoid,P,SC,No
FLorence Yeoh,Female,FLR,Adult,1,0,FLR_FLorence,Human,P,PA,No
Krish,Male,FLR,Adult,0,0,FLR_Krish,Human,P,DA,Yes
Miles Morales,Male,MSMMM,Teenager,1,0,MSMMM_Miles,Human,P,PA,No
Simon Krieger,Male,MSMMM,Adult,0,0,MSMMM_Simon,Human,A,MA,No
Rio Morales,Female,MSMMM,Middle-aged,0,0,MSMMM_Rio,Human,P,MC,No
Rhino,Male,MSMMM,Middle-aged,0,0,MSMMM_Rhino,Human,A,SC,No
Parker,Male,MSMMM,Adult,0,0,MSMMM_Parker,Human,P,SC,No
Ganke Lee,Male,MSMMM,Teenager,0,0,MSMMM_Ganke,Human,P,SK,No
Aaron Davis,Male,MSMMM,Middle-aged,0,0,MSMMM_Aaron,Human,B,MC,No
Danika Hart,Female,MSMMM,Young adult,0,0,MSMMM_Danika,Human,P,MC,No
Gloria Davila,Female,MSMMM,Adult,0,0,MSMMM_Gloria,Human,P,SC,No
Hailey Cooper,Female,MSMMM,Young adult,0,0,MSMMM_Hailey,Human,P,SC,No
Rick Mason,Male,MSMMM,Adult,0,0,MSMMM_Rick,Human,A,SC,No
Phin Mason,Female,MSMMM,Teenager,0,0,MSMMM_Phin,Human,B,MC,No
Kena,Female,KBOS,Teenager,1,0,KBOS_Kena,Human,P,PA,No
Rot,Non-binary,KBOS,Unknown,0,0,KBOS_Rot,Creature,P,SK,No
Toshi,Male,KBOS,Unknown,0,0,KBOS_Toshi,Human,A,MA,No
Zajuro,Male,KBOS,Elderly,0,0,KBOS_Zajuro,Human,P,MC,No
Saiya,Female,KBOS,Infant,0,0,KBOS_Saiya,Human,P,SC,No
Beni,Male,KBOS,Infant,0,0,KBOS_Beni,Human,P,SC,No
Taro,Male,KBOS,Child,0,0,KBOS_Taro,Human,P,SC,No
Rusu,Male,KBOS,Adult,0,0,KBOS_Rusu,Human,P,SC,No
Adira,Female,KBOS,Adult,0,0,KBOS_Adira,Human,P,SC,No
Hana,Female,KBOS,Adult,0,0,KBOS_Hana,Human,P,SC,No
